number,review,genbit_score,percentage_of_female_gender_definition_words,percentage_of_male_gender_definition_words,avg_bias_conditional,freq_of_female_gender_definition_words,freq_of_male_gender_definition_words,num_words_considered
0,['@VirginAmerica yes' ' nearly every time I fly VX this “ear worm” won’t go away :)'],0.555264045454643,0.2392638036809816,0.3312883435582822,-0.13854499484732083,156,216,664
1,['@virginamerica Well' " I didn't…but NOW I DO! :-D"],0.555264045454643,0.2392638036809816,0.3312883435582822,-0.13854499484732083,156,216,664
2,['@VirginAmerica it was amazing' " and arrived an hour early. You're too good to me."],0.555264045454643,0.2392638036809816,0.3312883435582822,-0.13854499484732083,156,216,664
3,['@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D'],0.555264045454643,0.2392638036809816,0.3312883435582822,-0.13854499484732083,156,216,664
4,["@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p"],0.555264045454643,0.2392638036809816,0.3312883435582822,-0.13854499484732083,156,216,664
5,["@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn"],0.555264045454643,0.2392638036809816,0.3312883435582822,-0.13854499484732083,156,216,664
6,['@VirginAmerica Thanks!'],0.555264045454643,0.2392638036809816,0.3312883435582822,-0.13854499484732083,156,216,664
7,["@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo"],0.5544555761507954,0.23889739663093415,0.33078101071975496,-0.1383631707323565,156,216,665
8,['I ❤️ flying @VirginAmerica. ☺️👍'],0.5544555761507954,0.23889739663093415,0.33078101071975496,-0.1383631707323565,156,216,665
9,['@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.'],0.5544555761507954,0.23889739663093415,0.33078101071975496,-0.1383631707323565,156,216,665
10,['@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA'],0.5544555761507954,0.23889739663093415,0.33078101071975496,-0.1383631707323565,156,216,665
11,['@VirginAmerica I love the hipster innovation. You are a feel good brand.'],0.5544555761507954,0.23889739663093415,0.33078101071975496,-0.1383631707323565,156,216,665
12,['@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews'],0.5544555761507954,0.23889739663093415,0.33078101071975496,-0.1383631707323565,156,216,665
13,['@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday'],0.5544555761507954,0.23889739663093415,0.33078101071975496,-0.1383631707323565,156,216,665
14,['@VirginAmerica @freddieawards Done and done! Best airline around' ' hands down!'],0.5544534028689491,0.23889739663093415,0.33078101071975496,-0.13835799068782392,156,216,665
15,['@VirginAmerica View of downtown Los Angeles' ' the Hollywood Sign' ' and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr'],0.5544468906786634,0.23889739663093415,0.33078101071975496,-0.13834246880058124,156,216,665
16,["@VirginAmerica I'm #elevategold for a good reason: you rock!!"],0.5544468906786634,0.23889739663093415,0.33078101071975496,-0.13834246880058124,156,216,665
17,['@VirginAmerica wow this just blew my mind'],0.5544468906786634,0.23889739663093415,0.33078101071975496,-0.13834246880058124,156,216,665
18,['@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood'],0.5544468906786634,0.23889739663093415,0.33078101071975496,-0.13834246880058124,156,216,665
19,['@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures'],0.5544468906786634,0.23889739663093415,0.33078101071975496,-0.13834246880058124,156,216,665
20,["@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊"],0.5570286432552571,0.24122137404580152,0.3297709923664122,-0.1405805558089199,158,216,665
21,["@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!"],0.5570286432552571,0.24122137404580152,0.3297709923664122,-0.1405805558089199,158,216,665
22,['@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV'],0.5570286432552571,0.24122137404580152,0.3297709923664122,-0.1405805558089199,158,216,665
23,['@VirginAmerica not worried' " it's been a great ride in a new plane with great crew. All airlines should be like this."],0.5570286432552571,0.24122137404580152,0.3297709923664122,-0.1405805558089199,158,216,665
24,['@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?'],0.5570286432552571,0.24122137404580152,0.3297709923664122,-0.1405805558089199,158,216,665
25,["@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G"],0.555409424505273,0.24085365853658536,0.32926829268292684,-0.14021005696132355,158,216,667
26,['@VirginAmerica - amazing customer  service' " again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"],0.5570596566174938,0.2420091324200913,0.3287671232876712,-0.14231078641929368,159,216,668
